Edad,Estado,Tipo_sangre,Salario
31.478455608841656,Jalisco,B,0
31.858215038718754,Sinaloa,B,0
52.75594717953971,Jalisco,A,0
45.67604076109332,Jalisco,A,0
37.33738770640835,Jalisco,A,1
25.52617122153518,Jalisco,B,0
40.79486357334528,Jalisco,A,1
54.27442301398903,Jalisco,A,0
40.27722472988697,Sinaloa,B,0
37.82031349442535,Jalisco,B,1
30.28472632740433,Jalisco,B,0
25.43224679331223,Sinaloa,B,1
30.067378698349383,CDMX,A,0
30.423272068935987,CDMX,A,1
47.7352211097254,Jalisco,A,1
24.892008715772395,Jalisco,B,1
37.588835202986424,Jalisco,B,0
34.52812903143565,Sinaloa,B,0
56.49658588088987,Sinaloa,B,0
32.495286244937404,Jalisco,B,1
49.51368183216044,Jalisco,A,0
21.71763003232448,Jalisco,B,0
42.75219292943621,Jalisco,A,0
21.445470660933587,Sinaloa,A,1
28.786560501697643,Jalisco,B,0
32.039964570539034,Jalisco,B,0
24.756227239166087,Jalisco,A,1
55.719276977613404,Jalisco,B,0
54.95926147943971,Sinaloa,A,0
23.99071155230378,Jalisco,B,0
23.918656021114217,CDMX,A,1
31.297038093636942,CDMX,A,1
31.27756725359012,Jalisco,A,1
27.483088178613954,Jalisco,A,1
37.05855979756274,Sinaloa,B,0
48.34245750317416,Jalisco,A,0
44.9287233635858,Jalisco,A,0
36.448591397377285,Jalisco,A,1
27.993274670473998,Jalisco,B,0
31.76798696478439,Sinaloa,A,1
30.141431062024143,Jalisco,A,1
20.66538832534212,Jalisco,B,0
29.550592776441242,Jalisco,A,0
47.31063687727014,Jalisco,A,0
21.29368289472483,Sinaloa,B,1
32.84762075076637,Jalisco,A,1
32.58101780703312,Jalisco,B,0
27.277964618441228,Jalisco,A,1
18.488009857658415,Jalisco,A,1
40.61072986049535,Jalisco,A,1
37.62995354523633,Jalisco,A,1
29.84297388097564,CDMX,A,1
52.4098528902681,Sinaloa,B,0
31.883423639753595,Jalisco,A,1
29.516910201439423,Jalisco,B,1
44.166973052587906,Jalisco,A,0
51.40498820790976,Sinaloa,B,0
38.53704689323014,Jalisco,A,1
32.20692538330559,CDMX,A,1
20.849621119112136,Jalisco,B,0
34.67360958302136,Jalisco,B,1
37.75139528589097,Sinaloa,B,0
51.84010163506488,Jalisco,A,0
32.23101226563291,Jalisco,B,1
49.02746705234753,Jalisco,A,0
65.0,Jalisco,A,0
30.808041757281416,Jalisco,A,1
23.673578986434055,Jalisco,A,1
55.72109596293692,CDMX,A,1
43.47890611721534,Jalisco,A,1
31.316183433962024,Sinaloa,A,1
18.0,Jalisco,A,1
30.949166069926747,Jalisco,B,0
31.205186888236007,Jalisco,B,0
34.82484388414578,Jalisco,A,1
