Edad,Estado,Artista_favorito,Salario
45.78188930006583,Jalisco,Cristian Castro,31576.333798991905
54.303289102423726,Jalisco,Cristian Castro,47648.06798049944
48.112729191582034,Sinaloa,Luis Miguel,65000.0
65.0,Jalisco,Luis Miguel,34330.567826899234
27.137411461785007,Jalisco,Luis Miguel,44627.92717901268
18.0,Jalisco,Luis Miguel,50390.7788267535
24.73761937737479,CDMX,Luis Miguel,15000.0
27.584332847071032,Jalisco,Cristian Castro,23621.97256887997
22.215258439049187,Jalisco,Luis Miguel,37153.99141873795
46.86381791703573,Jalisco,Luis Miguel,41774.881238203074
